news_text,sentiment_score,price_change_1,price_change_2,price_change_3
"蔚来测试车坠楼事件。",-0.9,-0.630,-0.441,-0.252
"威马汽车资金链断裂。",-0.85,-0.595,-0.416,-0.238
"哪吒汽车自燃频发。",-0.8,-0.560,-0.392,-0.224
"零跑汽车IPO破发。",-0.75,-0.525,-0.368,-0.210
"高合HiPhiX交付困难。",-0.7,-0.490,-0.343,-0.196
"创维汽车品牌认可度低。",-0.65,-0.455,-0.318,-0.182
"岚图FREE销量低迷。",-0.7,-0.490,-0.343,-0.196
"阿维塔11延期交付。",-0.65,-0.455,-0.318,-0.182
"极氪001车机卡顿投诉。",-0.7,-0.490,-0.343,-0.196
"智己L7软件BUG多。",-0.65,-0.455,-0.318,-0.182
"飞凡R7定价过高滞销。",-0.6,-0.420,-0.294,-0.168
"欧拉好猫芯片减配。",-0.75,-0.525,-0.368,-0.210
"埃安Y Plus品控问题。",-0.7,-0.490,-0.343,-0.196
"问界M7碰撞测试不佳。",-0.8,-0.560,-0.392,-0.224
"深蓝SL03续航虚标。",-0.75,-0.525,-0.368,-0.210
"极狐阿尔法S销量差。",-0.7,-0.490,-0.343,-0.196
"合创Z03质量投诉多。",-0.65,-0.455,-0.318,-0.182
"天际ME7停产。",-0.7,-0.490,-0.343,-0.196
"爱驰U5海外遇冷。",-0.65,-0.455,-0.318,-0.182
"云度π3自燃事故。",-0.75,-0.525,-0.368,-0.210
"FF91量产再度延期。",-0.8,-0.560,-0.392,-0.224
"Rivian产能不达标。",-0.75,-0.525,-0.368,-0.210
"Lucid资金紧张。",-0.8,-0.560,-0.392,-0.224
"Fisker交付延迟。",-0.7,-0.490,-0.343,-0.196
"Canoo高管离职潮。",-0.75,-0.525,-0.368,-0.210
"Lordstown工厂停工。",-0.8,-0.560,-0.392,-0.224
"Nikola欺诈案影响。",-0.85,-0.595,-0.416,-0.238
"Workhorse订单取消。",-0.7,-0.490,-0.343,-0.196
"Arrival现金流危机。",-0.8,-0.560,-0.392,-0.224
"Bollinger项目暂停。",-0.7,-0.490,-0.343,-0.196
"Mullen技术缺陷。",-0.75,-0.525,-0.368,-0.210
"法拉第未来财报延迟。",-0.8,-0.560,-0.392,-0.224
"特斯拉Model Y突然降价引维权。",-0.75,-0.525,-0.368,-0.210
"宁德时代与福特合作遇阻。",-0.7,-0.490,-0.343,-0.196
"比亚迪经销商库存压力大。",-0.65,-0.455,-0.318,-0.182
"小鹏G9配置混乱退订。",-0.8,-0.560,-0.392,-0.224
"理想L9空气悬架断裂。",-0.85,-0.595,-0.416,-0.238
"蔚来ET7自动驾驶失灵。",-0.8,-0.560,-0.392,-0.224
"威马员工薪资拖欠。",-0.9,-0.630,-0.441,-0.252
"哪吒S订单量不及预期。",-0.7,-0.490,-0.343,-0.196
"零跑C01交付延期。",-0.75,-0.525,-0.368,-0.210
"高合HiPhiZ定价过高。",-0.7,-0.490,-0.343,-0.196
"创维EV6质量投诉多。",-0.65,-0.455,-0.318,-0.182
"岚图梦想家碰撞测试差。",-0.75,-0.525,-0.368,-0.210
"阿维塔011限量版滞销。",-0.7,-0.490,-0.343,-0.196
"极氪009车机故障。",-0.7,-0.490,-0.343,-0.196
"智己LS7延期上市。",-0.65,-0.455,-0.318,-0.182
"飞凡F7预订量低迷。",-0.6,-0.420,-0.294,-0.168
"欧拉闪电猫续航虚标。",-0.7,-0.490,-0.343,-0.196
"埃安LX Plus降价伤客。",-0.75,-0.525,-0.368,-0.210
"问界M5EV销量惨淡。",-0.7,-0.490,-0.343,-0.196
"深蓝S7品控问题。",-0.65,-0.455,-0.318,-0.182
"极狐考拉定位失误。",-0.7,-0.490,-0.343,-0.196
"合创A06交付困难。",-0.65,-0.455,-0.318,-0.182
"天际ME5停产清仓。",-0.7,-0.490,-0.343,-0.196
"爱驰U6上市遇冷。",-0.65,-0.455,-0.318,-0.182
"云度π1召回事件。",-0.75,-0.525,-0.368,-0.210
"FF91测试车起火。",-0.8,-0.560,-0.392,-0.224
"Rivian裁员15%。",-0.75,-0.525,-0.368,-0.210
"Lucid下调产量目标。",-0.8,-0.560,-0.392,-0.224
"Fisker Ocean延迟交付。",-0.7,-0.490,-0.343,-0.196
"Canoo财报遭质疑。",-0.75,-0.525,-0.368,-0.210
"Lordstown申请破产。",-0.85,-0.595,-0.416,-0.238
"Nikola股价跌破1美元。",-0.9,-0.630,-0.441,-0.252
"Workhorse产品缺陷。",-0.7,-0.490,-0.343,-0.196
"Arrival股价暴跌90%。",-0.85,-0.595,-0.416,-0.238
"Bollinger资质被拒。",-0.8,-0.560,-0.392,-0.224
"Mullen高管集体离职。",-0.75,-0.525,-0.368,-0.210
"法拉第未来再融资金额不足。",-0.8,-0.560,-0.392,-0.224
"特斯拉因电池问题召回10万辆。",-0.85,-0.595,-0.416,-0.238
"宁德时代德国工厂延期。",-0.7,-0.490,-0.343,-0.196
"比亚迪海豹碰撞测试不佳。",-0.75,-0.525,-0.368,-0.210
"小鹏P7i定价过高滞销。",-0.7,-0.490,-0.343,-0.196
"理想L8 MAX配置缩水。",-0.75,-0.525,-0.368,-0.210
"蔚来ES7车机卡顿投诉。",-0.7,-0.490,-0.343,-0.196
"威马门店大规模关闭。",-0.9,-0.630,-0.441,-0.252
"哪吒GT销量不及预期。",-0.7,-0.490,-0.343,-0.196
"零跑T03安全评级低。",-0.75,-0.525,-0.368,-0.210
"高合HiPhiY延期交付。",-0.7,-0.490,-0.343,-0.196
"创维HT-i技术落后。",-0.65,-0.455,-0.318,-0.182
"岚图追光订单取消率高。",-0.7,-0.490,-0.343,-0.196
"阿维塔12项目延期。",-0.65,-0.455,-0.318,-0.182
"极氪X软件问题多。",-0.7,-0.490,-0.343,-0.196
"智己AI舱体验不佳。",-0.65,-0.455,-0.318,-0.182
"飞凡巴赫座舱卡顿。",-0.6,-0.420,-0.294,-0.168
"欧拉芭蕾猫续航虚标。",-0.7,-0.490,-0.343,-0.196
"埃安Hyper GT交付延迟。",-0.75,-0.525,-0.368,-0.210
"问界M9配置混乱。",-0.7,-0.490,-0.343,-0.196
"深蓝C673谍照泄露。",-0.65,-0.455,-0.318,-0.182
"极狐αT5定价过高。",-0.7,-0.490,-0.343,-0.196
"合创V09品控问题。",-0.65,-0.455,-0.318,-0.182
"天际ME7库存积压。",-0.7,-0.490,-0.343,-0.196
"爱驰U5海外召回。",-0.75,-0.525,-0.368,-0.210
"云度资金链断裂。",-0.8,-0.560,-0.392,-0.224
"FF加州工厂停工。",-0.85,-0.595,-0.416,-0.238
"Rivian订单取消潮。",-0.75,-0.525,-0.368,-0.210
"Lucid现金流紧张。",-0.8,-0.560,-0.392,-0.224
"Fisker质量投诉多。",-0.7,-0.490,-0.343,-0.196
"Canoo被纳斯达克警告。",-0.75,-0.525,-0.368,-0.210
"Lordstown资产拍卖。",-0.85,-0.595,-0.416,-0.238
"Nikola股价跌破1美元。",-0.9,-0.630,-0.441,-0.252
"Workhorse丢失大单。",-0.7,-0.490,-0.343,-0.196
"Arrival业务收缩。",-0.8,-0.560,-0.392,-0.224
"Bollinger融资失败。",-0.85,-0.595,-0.416,-0.238
"Mullen财报造假疑云。",-0.9,-0.630,-0.441,-0.252
"法拉第未来再陷危机。",-0.85,-0.595,-0.416,-0.238
"特斯拉Cybertruck延期交付。",-0.8,-0.560,-0.392,-0.224
"宁德时代美国项目受阻。",-0.75,-0.525,-0.368,-0.210
"比亚迪储能电池起火。",-0.85,-0.595,-0.416,-0.238
"小鹏G6自动驾驶事故。",-0.8,-0.560,-0.392,-0.224
"理想MEGA设计争议。",-0.75,-0.525,-0.368,-0.210
"蔚来手机项目遇冷。",-0.7,-0.490,-0.343,-0.196
"威马创始人限高消费。",-0.9,-0.630,-0.441,-0.252
"哪吒L上市延期。",-0.7,-0.490,-0.343,-0.196
"零跑C10配置缩水。",-0.75,-0.525,-0.368,-0.210
"高合停工停产。",-0.85,-0.595,-0.416,-0.238
"创维SKYHOME延期。",-0.7,-0.490,-0.343,-0.196
"岚图FREE降价伤客。",-0.75,-0.525,-0.368,-0.210
"阿维塔15项目暂停。",-0.7,-0.490,-0.343,-0.196
"极氪007交付延迟。",-0.7,-0.490,-0.343,-0.196
"智己L6电池问题。",-0.75,-0.525,-0.368,-0.210
"飞凡RC ESSENCE概念车遇冷。",-0.7,-0.490,-0.343,-0.196
"欧拉好猫GT续航虚标。",-0.75,-0.525,-0.368,-0.210
"埃安昊铂HT销量低迷。",-0.7,-0.490,-0.343,-0.196
"问界M8测试车曝光。",-0.65,-0.455,-0.318,-0.182
"深蓝G318定价过高。",-0.7,-0.490,-0.343,-0.196
"极狐考拉PRO配置混乱。",-0.65,-0.455,-0.318,-0.182
"合创MPV碰撞测试差。",-0.75,-0.525,-0.368,-0.210
